name,name_original,source_table,section,label_es,type,domain_min,domain_max,domain_levels,unit,notes
charla_lact_mat_otro,Charla_lact_mat_otro,nino,d. Alimentación,Quien le dieron la charla sobre lactancia materna: Otro,binary,,,No;Yes,,
charla_lact_mat_otroespec,Charla_lact_mat_otroespec,nino,d. Alimentación,"Quien le dieron la charla sobre lactancia materna: Otro, especificado",factor,,,"C8MADRONA;COMADRONA CAT;CUÑADA;DUPRACTICANTE EN EL CENTRO DE;FAMILIAR;GINECOLOGA, TRABAJADORA SOCIAL;LA MAMA;MAMA;MAMÁ;NUTRICIONISTA;PRACTICANTES DE ENFERMERÍA;SOILOFATOR NPRACTICANTES LE DA;SUEGRA;TRABAJADORA SOCIAL;TRABAJADORA SOCIAL IGSS;TRABAJO SOCIAL;VISITARON EN CASA DE INTECAP",,
charla_alim_edad,Charla_alim_edad,nino,d. Alimentación,"¿Alguna vez recibió la madre plática o charla sobre la edad de empezar a dar comidas suaves, semi-sólidas y solidas?",factor,,,1;2;96;98,,
charla_alim_como,Charla_alim_como,nino,d. Alimentación,"¿Alguna vez recibió la madre plática o charla sobre cómo empezar a dar comidas suaves, semi-sólidas y solidas y los tipos de comidas que debe ofrecer?",factor,,,1;2;96;98,,
charla_alim_tiempo,Charla_alim_tiempo,nino,d. Alimentación,¿Cuándo fue la última vez que alguien hablo con la madre sobre la alimentación del niño?,binary,,,0-3 meses;7+ meses,,
granos_raic_tuber_g1,granos_raic_tuber_g1,nino,d. Alimentación,"Ninos Grupo 1-Granos, raices, tuberculos",binary,,,0;1,,
legum_nueces_g2,legum_nueces_g2,nino,d. Alimentación,"Ninos Grupo 2-Leguminosas, nueces",binary,,,0;1,,
lacteos_g3,lacteos_g3,nino,d. Alimentación,Ninos Grupo 3-Lacteos,binary,,,0;1,,
todascarnes_g4,todasCarnes_g4,nino,d. Alimentación,Ninos Grupo 4-Todas Carnes,binary,,,0;1,,
huevos_g5,huevos_g5,nino,d. Alimentación,Ninos Grupo 5-Huevos,binary,,,0;1,,
veg_fruta_vita_g6,veg_fruta_vitA_g6,nino,d. Alimentación,Ninos Group 6-vegetales/frutas con vit A,binary,,,0;1,,
otroveg_frutas_g7,otroveg_frutas_g7,nino,d. Alimentación,Ninos Grupo 7-otros vegetales y frutas,binary,,,0;1,,
dds_nino,DDS_nino,nino,d. Alimentación,"Puntuación de diversidad de dieta, 0-7",factor,,,0;1;2;3;4;5;6;7,,
dds_nino_minima,DDS_nino_minima,nino,d. Alimentación,"Puntuación de diversidad de dieta, minima [>=4 grupos] (OMS)",binary,,,01-Si;02-No,,
frecuencia_minima_comer,frecuencia_minima_comer,nino,d. Alimentación,"Frecuencia mínima de comidas, ayer, (OMS)",binary,,,01-Si;02-No,,
veces_comio_ayer_nopecho,veces_comio_ayer_noPecho,nino,d. Alimentación,"Ayer, cuántas veces comió comida y tomó leche o fórmula para los que no maman",binary,,,13,,
dieta_minima_aceptable,dieta_minima_aceptable,nino,d. Alimentación,"Frecuencia mínima de comidas + Puntuación de diversidad de dieta, minima (OMS)",binary,,,01-Si;02-No,,
fortif_pdulce,Fortif_pdulce,nino,e. Alimentos Fortificados,"Ayer consumió pan dulce de manteca o tostado: 1=Sí, 2=No, 3=No consumen, 4=NS/NR",factor,,,1;2;88;98,,
fortif_pdulce_dias,Fortif_pdulce_dias,nino,e. Alimentos Fortificados,número de días durante los últimos 7 que consumió pan dulce (9=No sabe),factor,,,1;2;3;4;5;6;7,,
fortif_pdulce_veces,Fortif_pdulce_veces,nino,e. Alimentos Fortificados,número de veces por día durante los últimos 7 que consumió pan dulce,factor,,,1;2;3;4;5;12,,
fortif_pan,Fortif_pan,nino,e. Alimentos Fortificados,"Ayer consumió pan desabrido: 1=Sí, 2=No, 3=No consumen, 4=NS/NR",factor,,,1;2;88;98,,
fortif_pan_dias,Fortif_pan_dias,nino,e. Alimentos Fortificados,número de días durante los últimos 7 que consumió pan desabrido (9=No sabe),factor,,,1;2;3;4;5;6;7,,
fortif_pan_veces,Fortif_pan_veces,nino,e. Alimentos Fortificados,número de veces por día durante los últimos 7 que consumió pan desabrido,factor,,,1;2;3;4,,
fortif_harina_trig,Fortif_harina_trig,nino,e. Alimentos Fortificados,"Ayer consumió alimentos preparados en casa de harina de trigo: 1=Sí, 2=No, 3=No consumen, 4=NS/NR",factor,,,1;2;88;98,,
fortif_harina_trig_dias,Fortif_harina_trig_dias,nino,e. Alimentos Fortificados,número de días durante los últimos 7 que consumió harina de trigo (9=No sabe),factor,,,1;2;3;4;5;6;7,,
fortif_harina_trig_veces,Fortif_harina_trig_veces,nino,e. Alimentos Fortificados,número de veces por día durante los últimos 7 que consumió harina de trigo,factor,,,1;2;3;7,,
fortif_harina_maiz,Fortif_harina_maiz,nino,e. Alimentos Fortificados,"Ayer consumió alimentos preparados en casa de harina de maíz: 1=Sí, 2=No, 3=No consumen, 4=NS/NR",factor,,,1;2;88;98,,
fortif_harina_maiz_dias,Fortif_harina_maiz_dias,nino,e. Alimentos Fortificados,número de días durante los últimos 7 que consumió harina de maíz (9=No sabe),factor,,,1;2;3;5;6;7,,
fortif_harina_maiz_veces,Fortif_harina_maiz_veces,nino,e. Alimentos Fortificados,número de veces por día durante los últimos 7 que consumió harina de maíz,factor,,,1;2;3;4,,
fortif_jugo_enlatado,Fortif_jugo_enlatado,nino,e. Alimentos Fortificados,"Ayer consumió jugos envasadas o enlatadas: 1=Sí, 2=No, 3=No consumen, 4=NS/NR",factor,,,1;2;88;98,,
fortif_jugo_enlatado_dias,Fortif_jugo_enlatado_dias,nino,e. Alimentos Fortificados,número de días durante los últimos 7 que consumió jugos envasadas o enlatadas (9=No sabe),factor,,,1;2;3;4;5;6;7,,
fortif_jugo_enlatado_veces,Fortif_jugo_enlatado_veces,nino,e. Alimentos Fortificados,número de veces por día durante los últimos 7 que consumió jugos envasadas o enlatadas,factor,,,1;2;3;4,,
fortif_refresco_azucar,Fortif_refresco_azucar,nino,e. Alimentos Fortificados,"Ayer consumió refresco preparado en casa con azúcar incorporada: 1=Sí, 2=No, 3=No consumen, 4=NS/NR",factor,,,1;2;88;98,,
fortif_refresco_azucar_dias,Fortif_refresco_azucar_dias,nino,e. Alimentos Fortificados,número de días durante los últimos 7 que consumió refresco preparado en casa con azúcar incorporada (9=No sabe),factor,,,1;2;3;4;5;6;7,,
fortif_refresco_azucar_veces,Fortif_refresco_azucar_veces,nino,e. Alimentos Fortificados,número de veces por día durante los últimos 7 que consumió refresco preparado en casa con azúcar incorporada,factor,,,1;2;3;4;5;6;7,,
fortif_azucar_morena,Fortif_azucar_morena,nino,e. Alimentos Fortificados,"Ayer consumió azúcar morena: 1=Sí, 2=No, 3=No consumen, 4=NS/NR",factor,,,1;2;88,,
fortif_azucar_morena_dias,Fortif_azucar_morena_dias,nino,e. Alimentos Fortificados,número de días durante los últimos 7 que consumió azúcar morena (9=No sabe),factor,,,1;2;3;4;5;6;7,,
fortif_azucar_morena_veces,Fortif_azucar_morena_veces,nino,e. Alimentos Fortificados,número de veces por día durante los últimos 7 que consumió azúcar morena,factor,,,1;2;3;4;5;6,,
fortif_azucar_estandar,Fortif_azucar_estandar,nino,e. Alimentos Fortificados,"Ayer consumió azúcar estandar: 1=Sí, 2=No, 3=No consumen, 4=NS/NR",factor,,,1;2;88;98,,
fortif_azucar_estandar_dias,Fortif_azucar_estandar_dias,nino,e. Alimentos Fortificados,número de días durante los últimos 7 que consumió azúcar estandar (9=No sabe),factor,,,1;2;3;4;5;6;7,,
fortif_azucar_estandar_veces,Fortif_azucar_estandar_veces,nino,e. Alimentos Fortificados,número de veces por día durante los últimos 7 que consumió azúcar estandar,numeric_integer,0,30,,times,
fortif_azucar_blanca,Fortif_azucar_blanca,nino,e. Alimentos Fortificados,"Ayer consumió azúcar blanca: 1=Sí, 2=No, 3=No consumen, 4=NS/NR",factor,,,1;2;88,,
